text,label
Update payment information to continue.,1
Security alert. Confirm identity.,1
Account suspension warning.,1
Congratulations! Exclusive reward available.,1
The meeting starts at 10 AM.,0
Please review the project document.,0
Lunch is scheduled for tomorrow.,0
Thank you for your email.,0
See you at the office.,0
The report has been submitted.,0
Project deadline is next week.,0
Please call me when available.,0
Let's discuss the proposal tomorrow.,0
Happy birthday and best wishes.,0
The weather is nice today.,0
Can we reschedule the meeting?,0
Dinner is ready.,0
Please check the attached file.,0
Looking forward to seeing you.,0
The package has arrived safely.,0
Your order has been delivered.,0
Let's work on the presentation.,0
I will arrive at 5 PM.,0
Thanks for your support.,0